match_id,over,batter,batsman_runs,season
335982,1,BB McCullum,4,2007/08
335982,1,BB McCullum,4,2007/08
335982,1,BB McCullum,4,2007/08
335982,2,BB McCullum,4,2007/08
335982,3,SC Ganguly,4,2007/08
335982,4,SC Ganguly,4,2007/08
335982,4,BB McCullum,4,2007/08
335982,10,RT Ponting,4,2007/08
335982,10,RT Ponting,0,2007/08
335982,12,BB McCullum,4,2007/08
335982,12,BB McCullum,4,2007/08
335982,14,DJ Hussey,4,2007/08
335982,14,BB McCullum,4,2007/08
335982,17,BB McCullum,4,2007/08
335982,18,BB McCullum,4,2007/08
335982,18,Mohammad Hafeez,4,2007/08
335982,1,V Kohli,0,2007/08
335982,6,MV Boucher,4,2007/08
335982,9,AA Noffke,4,2007/08
335982,10,P Kumar,4,2007/08
335983,0,ML Hayden,4,2007/08
335983,1,PA Patel,4,2007/08
335983,1,PA Patel,4,2007/08
335983,1,PA Patel,4,2007/08
335983,3,MEK Hussey,4,2007/08
335983,4,MEK Hussey,4,2007/08
335983,4,MEK Hussey,4,2007/08
335983,5,ML Hayden,4,2007/08
335983,6,ML Hayden,4,2007/08
335983,8,SK Raina,4,2007/08
335983,10,SK Raina,4,2007/08
335983,11,MEK Hussey,4,2007/08
335983,14,MEK Hussey,4,2007/08
335983,14,MEK Hussey,4,2007/08
335983,16,MEK Hussey,4,2007/08
335983,17,S Badrinath,4,2007/08
335983,17,MEK Hussey,4,2007/08
335983,18,S Badrinath,4,2007/08
335983,19,S Badrinath,4,2007/08
335983,0,K Goel,4,2007/08
335983,0,JR Hopes,4,2007/08
335983,1,K Goel,4,2007/08
335983,2,JR Hopes,4,2007/08
335983,2,JR Hopes,4,2007/08
335983,4,JR Hopes,4,2007/08
335983,4,JR Hopes,4,2007/08
335983,7,JR Hopes,4,2007/08
335983,7,JR Hopes,4,2007/08
335983,7,JR Hopes,4,2007/08
335983,8,JR Hopes,4,2007/08
335983,8,JR Hopes,4,2007/08
335983,9,KC Sangakkara,4,2007/08
335983,11,KC Sangakkara,4,2007/08
335983,12,Yuvraj Singh,4,2007/08
335983,14,KC Sangakkara,4,2007/08
335983,15,KC Sangakkara,4,2007/08
335983,16,KC Sangakkara,4,2007/08
335984,1,YK Pathan,4,2007/08
335984,1,YK Pathan,4,2007/08
335984,3,SR Watson,4,2007/08
335984,3,SR Watson,4,2007/08
335984,3,SR Watson,4,2007/08
335984,4,SR Watson,4,2007/08
335984,11,RA Jadeja,4,2007/08
335984,12,D Salunkhe,4,2007/08
335984,13,RA Jadeja,4,2007/08
335984,15,SK Warne,4,2007/08
335984,15,SK Warne,4,2007/08
335984,18,D Salunkhe,4,2007/08
