match_id,batting_team,bowling_team,over,batter,bowler,batsman_runs,total_runs,season
335982,Kolkata Knight Riders,Royal Challengers Bangalore,1,BB McCullum,Z Khan,6,6,2007/08
335982,Kolkata Knight Riders,Royal Challengers Bangalore,3,BB McCullum,AA Noffke,6,6,2007/08
335982,Kolkata Knight Riders,Royal Challengers Bangalore,3,BB McCullum,AA Noffke,6,6,2007/08
335982,Kolkata Knight Riders,Royal Challengers Bangalore,9,BB McCullum,SB Joshi,6,6,2007/08
335982,Kolkata Knight Riders,Royal Challengers Bangalore,10,RT Ponting,JH Kallis,6,6,2007/08
335982,Kolkata Knight Riders,Royal Challengers Bangalore,11,BB McCullum,SB Joshi,6,6,2007/08
335982,Kolkata Knight Riders,Royal Challengers Bangalore,14,BB McCullum,CL White,6,6,2007/08
335982,Kolkata Knight Riders,Royal Challengers Bangalore,14,BB McCullum,CL White,6,6,2007/08
335982,Kolkata Knight Riders,Royal Challengers Bangalore,16,BB McCullum,Z Khan,6,6,2007/08
335982,Kolkata Knight Riders,Royal Challengers Bangalore,18,BB McCullum,JH Kallis,6,6,2007/08
335982,Kolkata Knight Riders,Royal Challengers Bangalore,18,BB McCullum,JH Kallis,6,6,2007/08
335982,Kolkata Knight Riders,Royal Challengers Bangalore,19,BB McCullum,P Kumar,6,6,2007/08
335982,Kolkata Knight Riders,Royal Challengers Bangalore,19,BB McCullum,P Kumar,6,6,2007/08
335982,Kolkata Knight Riders,Royal Challengers Bangalore,19,BB McCullum,P Kumar,6,6,2007/08
335982,Royal Challengers Bangalore,Kolkata Knight Riders,4,JH Kallis,AB Agarkar,6,6,2007/08
335982,Royal Challengers Bangalore,Kolkata Knight Riders,12,P Kumar,LR Shukla,6,6,2007/08
335982,Royal Challengers Bangalore,Kolkata Knight Riders,13,P Kumar,SC Ganguly,6,6,2007/08
335983,Chennai Super Kings,Kings XI Punjab,5,ML Hayden,JR Hopes,6,6,2007/08
335983,Chennai Super Kings,Kings XI Punjab,7,SK Raina,JR Hopes,6,6,2007/08
335983,Chennai Super Kings,Kings XI Punjab,8,MEK Hussey,IK Pathan,6,6,2007/08
335983,Chennai Super Kings,Kings XI Punjab,10,MEK Hussey,PP Chawla,6,6,2007/08
335983,Chennai Super Kings,Kings XI Punjab,10,SK Raina,PP Chawla,6,6,2007/08
335983,Chennai Super Kings,Kings XI Punjab,11,MEK Hussey,K Goel,6,6,2007/08
335983,Chennai Super Kings,Kings XI Punjab,11,SK Raina,K Goel,6,6,2007/08
335983,Chennai Super Kings,Kings XI Punjab,13,MEK Hussey,JR Hopes,6,6,2007/08
335983,Chennai Super Kings,Kings XI Punjab,14,MEK Hussey,WA Mota,6,6,2007/08
335983,Chennai Super Kings,Kings XI Punjab,15,JDP Oram,IK Pathan,6,6,2007/08
335983,Chennai Super Kings,Kings XI Punjab,16,MEK Hussey,S Sreesanth,6,6,2007/08
